District,Street,Community,Coordinates
上城,南星,凤凰北苑,"120.180439,30.220756"
上城,南星,凤凰南苑,"120.177642,30.218965"
上城,南星,滨江钱塘印象,"120.187391,30.222832"
上城,南星,闻潮尚庭,"120.187797,30.229953"
上城,南星,凤凰城广场,"120.178484,30.218326"
上城,南星,金色海岸,"119.706174,30.233621"
上城,南星,钱江国际商务中心,"120.175362,30.215801"
上城,南星,海运国际大厦,"120.176563,30.214207"
上城,南星,太和广场,"120.177943,30.214747"
上城,南星,秋涛路,"120.17775,30.22138"
上城,南星,钱江候潮府,"120.22242,30.281974"
上城,南星,春江名苑,"120.192248,30.227163"
上城,南星,滨江金色家园,"120.259168,30.2275"
上城,南星,赞成林风映水苑,"120.190016,30.227595"
上城,南星,康都紫轩,"120.183592,30.228063"
上城,南星,绿城蓝色钱江,"120.196688,30.224441"
上城,南星,秋涛路178号,"120.179018,30.221476"
上城,南星,望江府,"120.258815,30.39822"
上城,南星,水岸枫庭,"120.250532,30.375683"
上城,南星,钱江御府,"120.182326,30.226009"
上城,南星,赞成林风和风苑,"120.248421,30.387209"
上城,南星,木材新村,"120.179318,30.221831"
上城,南星,赞成林风沁林苑,"120.19122,30.226505"
上城,南星,新绿园,"119.943526,30.271261"
上城,南星,春江花月,"120.18183,30.216406"
上城,南星,金隅学府,"120.181069,30.224038"
上城,南星,秋涛南苑,"120.178445,30.220863"
上城,南星,阳光海岸,"120.194081,30.22287"
上城,闸弄口 ,万家花园万和苑,"120.20542,30.286064"
上城,闸弄口 ,闸弄口铁路宿舍,"120.194251,30.277921"
上城,闸弄口 ,万家花园欣和苑,"120.203024,30.285271"
上城,闸弄口 ,闸弄口新苑,"120.197143,30.279106"
上城,闸弄口 ,红树林花园,"120.189179,30.283116"
上城,闸弄口 ,闸弄口东村,"120.192259,30.277223"
上城,闸弄口 ,机神公寓,"120.190673,30.281168"
上城,闸弄口 ,新安铭苑,"120.188049,30.281936"
上城,闸弄口 ,东茂苑,"120.192569,30.281572"
上城,闸弄口 ,文晖铭园,"120.18625,30.282639"
上城,闸弄口 ,天城铭园,"120.185704,30.281271"
上城,闸弄口 ,机场路里街,"120.190981,30.289108"
上城,闸弄口 ,天晖铭园,"120.18624,30.280388"
上城,闸弄口 ,紫薇公寓,"120.187238,30.279632"
上城,闸弄口 ,京惠花园,"120.189746,30.277574"
上城,闸弄口 ,濮家新村,"120.195378,30.283037"
上城,闸弄口 ,天运花园,"120.201328,30.283729"
上城,闸弄口 ,闸弄口新村,"120.192709,30.276051"
上城,闸弄口 ,机神新村,"120.193341,30.283292"
上城,闸弄口 ,濮家东村,"120.200355,30.284738"
上城,闸弄口 ,万家花园家和苑,"120.205431,30.285016"
上城,闸弄口 ,机场路24-4号,"120.192175,30.287735"
上城,半山,成功时大大厦,"120.200614,30.353854"
上城,半山,杭钢西苑,"120.186255,30.373654"
上城,半山,万科智谷,"120.162861,30.331719"
上城,半山,水韵康桥康泽苑,"120.132472,30.368977"
上城,半山,半山路,"120.190623,30.352347"
上城,半山,水韵康桥康锦苑,"120.13255,30.37172"
上城,半山,水韵康桥康盛苑,"120.137061,30.369817"
上城,半山,电炉生活区,"120.185307,30.373693"
上城,半山,杭钢北苑,"120.184115,30.350898"
上城,半山,半山家苑,"120.18624,30.348563"
上城,半山,美麓美座,"120.186687,30.349359"
上城,半山,杭钢南苑,"120.183203,30.348395"
上城,半山,宁和弄,"120.18865,30.35223"
上城,半山,田园公寓,"120.189761,30.350727"
上城,半山,明园路,"120.187072,30.349753"
上城,半山,平安雅苑,"120.093586,30.441731"
上城,半山,金星桃源居,"120.175976,30.346658"
上城,半山,依锦苑,"120.198874,30.352118"
上城,半山,田园河畔居,"120.188918,30.349089"
上城,半山,阔板桥社区,"120.182526,30.345473"
上城,半山,金典家园,"120.186809,30.34836"
上城,半山,康馨苑,"120.146528,30.356147"
上城,半山,金隅田员外,"120.195667,30.353045"
上城,半山,袁家新院,"120.173382,30.343051"
上城,半山,瓜山佳苑,"120.148951,30.339841"
上城,半山,建工路1号,"120.193609,30.350394"
上城,半山,朗诗田园绿郡,"120.197459,30.351349"
上城,半山,田园牧歌风禾苑,"120.199194,30.353665"
上城,半山,大家运河之星,"120.139066,30.371536"
上城,半山,宋都香悦郡,"120.174084,30.343397"
上城,半山,广宇锦绣桃源,"120.172366,30.345409"
上城,半山,广宇万科公园里,"120.175828,30.008985"
上城,半山,田园牧歌揽翠苑,"120.207473,30.35922"
上城,半山,田园牧歌听泉苑,"120.201959,30.357099"
上城,半山,首开望宸,"120.204845,30.355493"
上城,半山,中兴御田清庭,"120.206316,30.36058"
上城,半山,杭钢尚堂府,"120.150808,30.333091"
